Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9,Attribute 10,Attribute 11
775.916003,782.751990,788.245996,791.859387,790.147998,791.356006,793.747205,796.304004,792.509998,794.629199,797.791992
782.751990,788.245996,791.859387,790.147998,791.356006,793.747205,796.304004,792.509998,794.629199,797.791992,797.910010
788.245996,791.859387,790.147998,791.356006,793.747205,796.304004,792.509998,794.629199,797.791992,797.910010,796.764002
791.859387,790.147998,791.356006,793.747205,796.304004,792.509998,794.629199,797.791992,797.910010,796.764002,787.837000
790.147998,791.356006,793.747205,796.304004,792.509998,794.629199,797.791992,797.910010,796.764002,787.837000,785.406189
791.356006,793.747205,796.304004,792.509998,794.629199,797.791992,797.910010,796.764002,787.837000,785.406189,774.145984
793.747205,796.304004,792.509998,794.629199,797.791992,797.910010,796.764002,787.837000,785.406189,774.145984,766.107995
796.304004,792.509998,794.629199,797.791992,797.910010,796.764002,787.837000,785.406189,774.145984,766.107995,761.823999
792.509998,794.629199,797.791992,797.910010,796.764002,787.837000,785.406189,774.145984,766.107995,761.823999,759.910022
794.629199,797.791992,797.910010,796.764002,787.837000,785.406189,774.145984,766.107995,761.823999,759.910022,748.538001
797.791992,797.910010,796.764002,787.837000,785.406189,774.145984,766.107995,761.823999,759.910022,748.538001,750.030994
797.910010,796.764002,787.837000,785.406189,774.145984,766.107995,761.823999,759.910022,748.538001,750.030994,762.793994
796.764002,787.837000,785.406189,774.145984,766.107995,761.823999,759.910022,748.538001,750.030994,762.793994,771.990015
787.837000,785.406189,774.145984,766.107995,761.823999,759.910022,748.538001,750.030994,762.793994,771.990015,767.161999
785.406189,774.145984,766.107995,761.823999,759.910022,748.538001,750.030994,762.793994,771.990015,767.161999,762.628003
774.145984,766.107995,761.823999,759.910022,748.538001,750.030994,762.793994,771.990015,767.161999,762.628003,762.648596
766.107995,761.823999,759.910022,748.538001,750.030994,762.793994,771.990015,767.161999,762.628003,762.648596,770.626013
761.823999,759.910022,748.538001,750.030994,762.793994,771.990015,767.161999,762.628003,762.648596,770.626013,766.261999
759.910022,748.538001,750.030994,762.793994,771.990015,767.161999,762.628003,762.648596,770.626013,766.261999,765.489990
748.538001,750.030994,762.793994,771.990015,767.161999,762.628003,762.648596,770.626013,766.261999,765.489990,769.261987
750.030994,762.793994,771.990015,767.161999,762.628003,762.648596,770.626013,766.261999,765.489990,769.261987,760.205993
762.793994,771.990015,767.161999,762.628003,762.648596,770.626013,766.261999,765.489990,769.261987,760.205993,755.067188
771.990015,767.161999,762.628003,762.648596,770.626013,766.261999,765.489990,769.261987,760.205993,755.067188,742.629993
767.161999,762.628003,762.648596,770.626013,766.261999,765.489990,769.261987,760.205993,755.067188,742.629993,755.148010
762.628003,762.648596,770.626013,766.261999,765.489990,769.261987,760.205993,755.067188,742.629993,755.148010,771.927991
762.648596,770.626013,766.261999,765.489990,769.261987,760.205993,755.067188,742.629993,755.148010,771.927991,782.691394
770.626013,766.261999,765.489990,769.261987,760.205993,755.067188,742.629993,755.148010,771.927991,782.691394,788.048608
766.261999,765.489990,769.261987,760.205993,755.067188,742.629993,755.148010,771.927991,782.691394,788.048608,779.456006
765.489990,769.261987,760.205993,755.067188,742.629993,755.148010,771.927991,782.691394,788.048608,779.456006,759.124194
769.261987,760.205993,755.067188,742.629993,755.148010,771.927991,782.691394,788.048608,779.456006,759.124194,764.098010
760.205993,755.067188,742.629993,755.148010,771.927991,782.691394,788.048608,779.456006,759.124194,764.098010,772.140014
755.067188,742.629993,755.148010,771.927991,782.691394,788.048608,779.456006,759.124194,764.098010,772.140014,783.027991
742.629993,755.148010,771.927991,782.691394,788.048608,779.456006,759.124194,764.098010,772.140014,783.027991,789.081982
755.148010,771.927991,782.691394,788.048608,779.456006,759.124194,764.098010,772.140014,783.027991,789.081982,801.633997
771.927991,782.691394,788.048608,779.456006,759.124194,764.098010,772.140014,783.027991,789.081982,801.633997,797.337988
782.691394,788.048608,779.456006,759.124194,764.098010,772.140014,783.027991,789.081982,801.633997,797.337988,801.556006
788.048608,779.456006,759.124194,764.098010,772.140014,783.027991,789.081982,801.633997,797.337988,801.556006,810.767993
779.456006,759.124194,764.098010,772.140014,783.027991,789.081982,801.633997,797.337988,801.556006,810.767993,810.223999
759.124194,764.098010,772.140014,783.027991,789.081982,801.633997,797.337988,801.556006,810.767993,810.223999,797.447998
764.098010,772.140014,783.027991,789.081982,801.633997,797.337988,801.556006,810.767993,810.223999,797.447998,799.447986
772.140014,783.027991,789.081982,801.633997,797.337988,801.556006,810.767993,810.223999,797.447998,799.447986,800.773999
783.027991,789.081982,801.633997,797.337988,801.556006,810.767993,810.223999,797.447998,799.447986,800.773999,793.108997
789.081982,801.633997,797.337988,801.556006,810.767993,810.223999,797.447998,799.447986,800.773999,793.108997,780.614002
801.633997,797.337988,801.556006,810.767993,810.223999,797.447998,799.447986,800.773999,793.108997,780.614002,779.732019
797.337988,801.556006,810.767993,810.223999,797.447998,799.447986,800.773999,793.108997,780.614002,779.732019,778.363989
801.556006,810.767993,810.223999,797.447998,799.447986,800.773999,793.108997,780.614002,779.732019,778.363989,785.246009
810.767993,810.223999,797.447998,799.447986,800.773999,793.108997,780.614002,779.732019,778.363989,785.246009,785.132007
810.223999,797.447998,799.447986,800.773999,793.108997,780.614002,779.732019,778.363989,785.246009,785.132007,782.968005
797.447998,799.447986,800.773999,793.108997,780.614002,779.732019,778.363989,785.246009,785.132007,782.968005,776.045996
799.447986,800.773999,793.108997,780.614002,779.732019,778.363989,785.246009,785.132007,782.968005,776.045996,777.747986
800.773999,793.108997,780.614002,779.732019,778.363989,785.246009,785.132007,782.968005,776.045996,777.747986,777.993994
793.108997,780.614002,779.732019,778.363989,785.246009,785.132007,782.968005,776.045996,777.747986,777.993994,776.098010
780.614002,779.732019,778.363989,785.246009,785.132007,782.968005,776.045996,777.747986,777.993994,776.098010,772.987000
779.732019,778.363989,785.246009,785.132007,782.968005,776.045996,777.747986,777.993994,776.098010,772.987000,777.188000
778.363989,785.246009,785.132007,782.968005,776.045996,777.747986,777.993994,776.098010,772.987000,777.188000,778.298401
785.246009,785.132007,782.968005,776.045996,777.747986,777.993994,776.098010,772.987000,777.188000,778.298401,779.549988
785.132007,782.968005,776.045996,777.747986,777.993994,776.098010,772.987000,777.188000,778.298401,779.549988,780.363599
782.968005,776.045996,777.747986,777.993994,776.098010,772.987000,777.188000,778.298401,779.549988,780.363599,777.394006
776.045996,777.747986,777.993994,776.098010,772.987000,777.188000,778.298401,779.549988,780.363599,777.394006,786.694018
777.747986,777.993994,776.098010,772.987000,777.188000,778.298401,779.549988,780.363599,777.394006,786.694018,784.542004
777.993994,776.098010,772.987000,777.188000,778.298401,779.549988,780.363599,777.394006,786.694018,784.542004,774.112183
776.098010,772.987000,777.188000,778.298401,779.549988,780.363599,777.394006,786.694018,784.542004,774.112183,770.735998
772.987000,777.188000,778.298401,779.549988,780.363599,777.394006,786.694018,784.542004,774.112183,770.735998,768.452197
777.188000,778.298401,779.549988,780.363599,777.394006,786.694018,784.542004,774.112183,770.735998,768.452197,768.383997
778.298401,779.549988,780.363599,777.394006,786.694018,784.542004,774.112183,770.735998,768.452197,768.383997,768.034009
779.549988,780.363599,777.394006,786.694018,784.542004,774.112183,770.735998,768.452197,768.383997,768.034009,762.275989
780.363599,777.394006,786.694018,784.542004,774.112183,770.735998,768.452197,768.383997,768.034009,762.275989,761.175989
777.394006,786.694018,784.542004,774.112183,770.735998,768.452197,768.383997,768.034009,762.275989,761.175989,763.492005
786.694018,784.542004,774.112183,770.735998,768.452197,768.383997,768.034009,762.275989,761.175989,763.492005,764.464978
784.542004,774.112183,770.735998,768.452197,768.383997,768.034009,762.275989,761.175989,763.492005,764.464978,776.632007
774.112183,770.735998,768.452197,768.383997,768.034009,762.275989,761.175989,763.492005,764.464978,776.632007,779.925989
770.735998,768.452197,768.383997,768.034009,762.275989,761.175989,763.492005,764.464978,776.632007,779.925989,777.322009
768.452197,768.383997,768.034009,762.275989,761.175989,763.492005,764.464978,776.632007,779.925989,777.322009,771.652002
768.383997,768.034009,762.275989,761.175989,763.492005,764.464978,776.632007,779.925989,777.322009,771.652002,768.426013
768.034009,762.275989,761.175989,763.492005,764.464978,776.632007,779.925989,777.322009,771.652002,768.426013,767.116004
762.275989,761.175989,763.492005,764.464978,776.632007,779.925989,777.322009,771.652002,768.426013,767.116004,769.763220
761.175989,763.492005,764.464978,776.632007,779.925989,777.322009,771.652002,768.426013,767.116004,769.763220,770.929004
763.492005,764.464978,776.632007,779.925989,777.322009,771.652002,768.426013,767.116004,769.763220,770.929004,770.001990
764.464978,776.632007,779.925989,777.322009,771.652002,768.426013,767.116004,769.763220,770.929004,770.001990,768.178992
776.632007,779.925989,777.322009,771.652002,768.426013,767.116004,769.763220,770.929004,770.001990,768.178992,770.286011
779.925989,777.322009,771.652002,768.426013,767.116004,769.763220,770.929004,770.001990,768.178992,770.286011,773.572998
777.322009,771.652002,768.426013,767.116004,769.763220,770.929004,770.001990,768.178992,770.286011,773.572998,772.432007
771.652002,768.426013,767.116004,769.763220,770.929004,770.001990,768.178992,770.286011,773.572998,772.432007,775.213989
768.426013,767.116004,769.763220,770.929004,770.001990,768.178992,770.286011,773.572998,772.432007,775.213989,778.973999
767.116004,769.763220,770.929004,770.001990,768.178992,770.286011,773.572998,772.432007,775.213989,778.973999,778.295996
769.763220,770.929004,770.001990,768.178992,770.286011,773.572998,772.432007,775.213989,778.973999,778.295996,777.800794
770.929004,770.001990,768.178992,770.286011,773.572998,772.432007,775.213989,778.973999,778.295996,777.800794,783.245996
770.001990,768.178992,770.286011,773.572998,772.432007,775.213989,778.973999,778.295996,777.800794,783.245996,782.346997
768.178992,770.286011,773.572998,772.432007,775.213989,778.973999,778.295996,777.800794,783.245996,782.346997,785.483985
770.286011,773.572998,772.432007,775.213989,778.973999,778.295996,777.800794,783.245996,782.346997,785.483985,784.540003
773.572998,772.432007,775.213989,778.973999,778.295996,777.800794,783.245996,782.346997,785.483985,784.540003,783.826001
772.432007,775.213989,778.973999,778.295996,777.800794,783.245996,782.346997,785.483985,784.540003,783.826001,781.248206
775.213989,778.973999,778.295996,777.800794,783.245996,782.346997,785.483985,784.540003,783.826001,781.248206,778.719995
778.973999,778.295996,777.800794,783.245996,782.346997,785.483985,784.540003,783.826001,781.248206,778.719995,771.660986
778.295996,777.800794,783.245996,782.346997,785.483985,784.540003,783.826001,781.248206,778.719995,771.660986,770.714002
777.800794,783.245996,782.346997,785.483985,784.540003,783.826001,781.248206,778.719995,771.660986,770.714002,770.904004
783.245996,782.346997,785.483985,784.540003,783.826001,781.248206,778.719995,771.660986,770.714002,770.904004,769.674011
782.346997,785.483985,784.540003,783.826001,781.248206,778.719995,771.660986,770.714002,770.904004,769.674011,771.121997
785.483985,784.540003,783.826001,781.248206,778.719995,771.660986,770.714002,770.904004,769.674011,771.121997,745.361987
784.540003,783.826001,781.248206,778.719995,771.660986,770.714002,770.904004,769.674011,771.121997,745.361987,740.656018
783.826001,781.248206,778.719995,771.660986,770.714002,770.904004,769.674011,771.121997,745.361987,740.656018,738.367993
781.248206,778.719995,771.660986,770.714002,770.904004,769.674011,771.121997,745.361987,740.656018,738.367993,740.064002
778.719995,771.660986,770.714002,770.904004,769.674011,771.121997,745.361987,740.656018,738.367993,740.064002,741.427991
771.660986,770.714002,770.904004,769.674011,771.121997,745.361987,740.656018,738.367993,740.064002,741.427991,739.028198
770.714002,770.904004,769.674011,771.121997,745.361987,740.656018,738.367993,740.064002,741.427991,739.028198,739.788000
770.904004,769.674011,771.121997,745.361987,740.656018,738.367993,740.064002,741.427991,739.028198,739.788000,733.960010
769.674011,771.121997,745.361987,740.656018,738.367993,740.064002,741.427991,739.028198,739.788000,733.960010,729.518017
771.121997,745.361987,740.656018,738.367993,740.064002,741.427991,739.028198,739.788000,733.960010,729.518017,722.044983
745.361987,740.656018,738.367993,740.064002,741.427991,739.028198,739.788000,733.960010,729.518017,722.044983,720.744018
740.656018,738.367993,740.064002,741.427991,739.028198,739.788000,733.960010,729.518017,722.044983,720.744018,719.685986
738.367993,740.064002,741.427991,739.028198,739.788000,733.960010,729.518017,722.044983,720.744018,719.685986,719.850000
740.064002,741.427991,739.028198,739.788000,733.960010,729.518017,722.044983,720.744018,719.685986,719.850000,712.396008
741.427991,739.028198,739.788000,733.960010,729.518017,722.044983,720.744018,719.685986,719.850000,712.396008,702.581006
739.028198,739.788000,733.960010,729.518017,722.044983,720.744018,719.685986,719.850000,712.396008,702.581006,695.043005
739.788000,733.960010,729.518017,722.044983,720.744018,719.685986,719.850000,712.396008,702.581006,695.043005,695.258008
733.960010,729.518017,722.044983,720.744018,719.685986,719.850000,712.396008,702.581006,695.043005,695.258008,694.356006
729.518017,722.044983,720.744018,719.685986,719.850000,712.396008,702.581006,695.043005,695.258008,694.356006,696.680017
722.044983,720.744018,719.685986,719.850000,712.396008,702.581006,695.043005,695.258008,694.356006,696.680017,689.127991
720.744018,719.685986,719.850000,712.396008,702.581006,695.043005,695.258008,694.356006,696.680017,689.127991,684.011792
719.685986,719.850000,712.396008,702.581006,695.043005,695.258008,694.356006,696.680017,689.127991,684.011792,678.475989
719.850000,712.396008,702.581006,695.043005,695.258008,694.356006,696.680017,689.127991,684.011792,678.475989,668.620801
712.396008,702.581006,695.043005,695.258008,694.356006,696.680017,689.127991,684.011792,678.475989,668.620801,677.691992
702.581006,695.043005,695.258008,694.356006,696.680017,689.127991,684.011792,678.475989,668.620801,677.691992,698.028003
695.043005,695.258008,694.356006,696.680017,689.127991,684.011792,678.475989,668.620801,677.691992,698.028003,697.584399
695.258008,694.356006,696.680017,689.127991,684.011792,678.475989,668.620801,677.691992,698.028003,697.584399,697.012012
694.356006,696.680017,689.127991,684.011792,678.475989,668.620801,677.691992,698.028003,697.584399,697.012012,696.416003
696.680017,689.127991,684.011792,678.475989,668.620801,677.691992,698.028003,697.584399,697.012012,696.416003,697.872400
689.127991,684.011792,678.475989,668.620801,677.691992,698.028003,697.584399,697.012012,696.416003,697.872400,711.107995
684.011792,678.475989,668.620801,677.691992,698.028003,697.584399,697.012012,696.416003,697.872400,711.107995,719.425989
678.475989,668.620801,677.691992,698.028003,697.584399,697.012012,696.416003,697.872400,711.107995,719.425989,717.721997
668.620801,677.691992,698.028003,697.584399,697.012012,696.416003,697.872400,711.107995,719.425989,717.721997,719.035998
677.691992,698.028003,697.584399,697.012012,696.416003,697.872400,711.107995,719.425989,717.721997,719.035998,720.121985
698.028003,697.584399,697.012012,696.416003,697.872400,711.107995,719.425989,717.721997,719.035998,720.121985,726.381201
697.584399,697.012012,696.416003,697.872400,711.107995,719.425989,717.721997,719.035998,720.121985,726.381201,725.934021
697.012012,696.416003,697.872400,711.107995,719.425989,717.721997,719.035998,720.121985,726.381201,725.934021,718.334009
696.416003,697.872400,711.107995,719.425989,717.721997,719.035998,720.121985,726.381201,725.934021,718.334009,719.505981
697.872400,711.107995,719.425989,717.721997,719.035998,720.121985,726.381201,725.934021,718.334009,719.505981,724.800012
711.107995,719.425989,717.721997,719.035998,720.121985,726.381201,725.934021,718.334009,719.505981,724.800012,730.098010
719.425989,717.721997,719.035998,720.121985,726.381201,725.934021,718.334009,719.505981,724.800012,730.098010,734.140014
717.721997,719.035998,720.121985,726.381201,725.934021,718.334009,719.505981,724.800012,730.098010,734.140014,734.833984
719.035998,720.121985,726.381201,725.934021,718.334009,719.505981,724.800012,730.098010,734.140014,734.833984,729.453186
720.121985,726.381201,725.934021,718.334009,719.505981,724.800012,730.098010,734.140014,734.833984,729.453186,723.944006
726.381201,725.934021,718.334009,719.505981,724.800012,730.098010,734.140014,734.833984,729.453186,723.944006,723.703015
725.934021,718.334009,719.505981,724.800012,730.098010,734.140014,734.833984,729.453186,723.944006,723.703015,714.973999
718.334009,719.505981,724.800012,730.098010,734.140014,734.833984,729.453186,723.944006,723.703015,714.973999,706.133606
719.505981,724.800012,730.098010,734.140014,734.833984,729.453186,723.944006,723.703015,714.973999,706.133606,707.240002
724.800012,730.098010,734.140014,734.833984,729.453186,723.944006,723.703015,714.973999,706.133606,707.240002,701.159997
730.098010,734.140014,734.833984,729.453186,723.944006,723.703015,714.973999,706.133606,707.240002,701.159997,705.831995
734.140014,734.833984,729.453186,723.944006,723.703015,714.973999,706.133606,707.240002,701.159997,705.831995,710.815991
734.833984,729.453186,723.944006,723.703015,714.973999,706.133606,707.240002,701.159997,705.831995,710.815991,713.247998
729.453186,723.944006,723.703015,714.973999,706.133606,707.240002,701.159997,705.831995,710.815991,713.247998,711.902405
723.944006,723.703015,714.973999,706.133606,707.240002,701.159997,705.831995,710.815991,713.247998,711.902405,714.385999
723.703015,714.973999,706.133606,707.240002,701.159997,705.831995,710.815991,713.247998,711.902405,714.385999,718.253979
714.973999,706.133606,707.240002,701.159997,705.831995,710.815991,713.247998,711.902405,714.385999,718.253979,720.465991
706.133606,707.240002,701.159997,705.831995,710.815991,713.247998,711.902405,714.385999,718.253979,720.465991,713.302014
707.240002,701.159997,705.831995,710.815991,713.247998,711.902405,714.385999,718.253979,720.465991,713.302014,706.117395
701.159997,705.831995,710.815991,713.247998,711.902405,714.385999,718.253979,720.465991,713.302014,706.117395,699.719995
705.831995,710.815991,713.247998,711.902405,714.385999,718.253979,720.465991,713.302014,706.117395,699.719995,694.130005
710.815991,713.247998,711.902405,714.385999,718.253979,720.465991,713.302014,706.117395,699.719995,694.130005,694.285998
713.247998,711.902405,714.385999,718.253979,720.465991,713.302014,706.117395,699.719995,694.130005,694.285998,697.138013
711.902405,714.385999,718.253979,720.465991,713.302014,706.117395,699.719995,694.130005,694.285998,697.138013,692.668005
714.385999,718.253979,720.465991,713.302014,706.117395,699.719995,694.130005,694.285998,697.138013,692.668005,698.804004
718.253979,720.465991,713.302014,706.117395,699.719995,694.130005,694.285998,697.138013,692.668005,698.804004,704.063000
720.465991,713.302014,706.117395,699.719995,694.130005,694.285998,697.138013,692.668005,698.804004,704.063000,714.098401
713.302014,706.117395,699.719995,694.130005,694.285998,697.138013,692.668005,698.804004,704.063000,714.098401,720.384009
706.117395,699.719995,694.130005,694.285998,697.138013,692.668005,698.804004,704.063000,714.098401,720.384009,722.714002
699.719995,694.130005,694.285998,697.138013,692.668005,698.804004,704.063000,714.098401,720.384009,722.714002,756.732007
694.130005,694.285998,697.138013,692.668005,698.804004,704.063000,714.098401,720.384009,722.714002,756.732007,754.296399
694.285998,697.138013,692.668005,698.804004,704.063000,714.098401,720.384009,722.714002,756.732007,754.296399,759.320007
697.138013,692.668005,698.804004,704.063000,714.098401,720.384009,722.714002,756.732007,754.296399,759.320007,763.805994
692.668005,698.804004,704.063000,714.098401,720.384009,722.714002,756.732007,754.296399,759.320007,763.805994,757.134790
698.804004,704.063000,714.098401,720.384009,722.714002,756.732007,754.296399,759.320007,763.805994,757.134790,754.085010
704.063000,714.098401,720.384009,722.714002,756.732007,754.296399,759.320007,763.805994,757.134790,754.085010,750.248181
714.098401,720.384009,722.714002,756.732007,754.296399,759.320007,763.805994,757.134790,754.085010,750.248181,739.804016
720.384009,722.714002,756.732007,754.296399,759.320007,763.805994,757.134790,754.085010,750.248181,739.804016,739.253992
722.714002,756.732007,754.296399,759.320007,763.805994,757.134790,754.085010,750.248181,739.804016,739.253992,740.654004
756.732007,754.296399,759.320007,763.805994,757.134790,754.085010,750.248181,739.804016,739.253992,740.654004,741.842016
754.296399,759.320007,763.805994,757.134790,754.085010,750.248181,739.804016,739.253992,740.654004,741.842016,741.790002
759.320007,763.805994,757.134790,754.085010,750.248181,739.804016,739.253992,740.654004,741.842016,741.790002,738.353992
763.805994,757.134790,754.085010,750.248181,739.804016,739.253992,740.654004,741.842016,741.790002,738.353992,747.173987
757.134790,754.085010,750.248181,739.804016,739.253992,740.654004,741.842016,741.790002,738.353992,747.173987,745.151990
754.085010,750.248181,739.804016,739.253992,740.654004,741.842016,741.790002,738.353992,747.173987,745.151990,746.188000
750.248181,739.804016,739.253992,740.654004,741.842016,741.790002,738.353992,747.173987,745.151990,746.188000,751.556006
739.804016,739.253992,740.654004,741.842016,741.790002,738.353992,747.173987,745.151990,746.188000,751.556006,740.028015
739.253992,740.654004,741.842016,741.790002,738.353992,747.173987,745.151990,746.188000,751.556006,740.028015,735.068005
740.654004,741.842016,741.790002,738.353992,747.173987,745.151990,746.188000,751.556006,740.028015,735.068005,734.271399
741.842016,741.790002,738.353992,747.173987,745.151990,746.188000,751.556006,740.028015,735.068005,734.271399,740.069995
741.790002,738.353992,747.173987,745.151990,746.188000,751.556006,740.028015,735.068005,734.271399,740.069995,740.284009
738.353992,747.173987,745.151990,746.188000,751.556006,740.028015,735.068005,734.271399,740.069995,740.284009,739.339209
747.173987,745.151990,746.188000,751.556006,740.028015,735.068005,734.271399,740.069995,740.284009,739.339209,738.177991
745.151990,746.188000,751.556006,740.028015,735.068005,734.271399,740.069995,740.284009,739.339209,738.177991,738.216015
746.188000,751.556006,740.028015,735.068005,734.271399,740.069995,740.284009,739.339209,738.177991,738.216015,732.106006
751.556006,740.028015,735.068005,734.271399,740.069995,740.284009,739.339209,738.177991,738.216015,732.106006,728.128003
740.028015,735.068005,734.271399,740.069995,740.284009,739.339209,738.177991,738.216015,732.106006,728.128003,729.688000
735.068005,734.271399,740.069995,740.284009,739.339209,738.177991,738.216015,732.106006,728.128003,729.688000,723.536999
734.271399,740.069995,740.284009,739.339209,738.177991,738.216015,732.106006,728.128003,729.688000,723.536999,710.711999
740.069995,740.284009,739.339209,738.177991,738.216015,732.106006,728.128003,729.688000,723.536999,710.711999,701.725989
740.284009,739.339209,738.177991,738.216015,732.106006,728.128003,729.688000,723.536999,710.711999,701.725989,693.131995
739.339209,738.177991,738.216015,732.106006,728.128003,729.688000,723.536999,710.711999,701.725989,693.131995,698.442199
738.177991,738.216015,732.106006,728.128003,729.688000,723.536999,710.711999,701.725989,693.131995,698.442199,711.856006
738.216015,732.106006,728.128003,729.688000,723.536999,710.711999,701.725989,693.131995,698.442199,711.856006,713.797998
732.106006,728.128003,729.688000,723.536999,710.711999,701.725989,693.131995,698.442199,711.856006,713.797998,717.739990
728.128003,729.688000,723.536999,710.711999,701.725989,693.131995,698.442199,711.856006,713.797998,717.739990,711.964002
729.688000,723.536999,710.711999,701.725989,693.131995,698.442199,711.856006,713.797998,717.739990,711.964002,700.886011
723.536999,710.711999,701.725989,693.131995,698.442199,711.856006,713.797998,717.739990,711.964002,700.886011,706.602002
710.711999,701.725989,693.131995,698.442199,711.856006,713.797998,717.739990,711.964002,700.886011,706.602002,701.615002
701.725989,693.131995,698.442199,711.856006,713.797998,717.739990,711.964002,700.886011,706.602002,701.615002,693.764002
693.131995,698.442199,711.856006,713.797998,717.739990,711.964002,700.886011,706.602002,701.615002,693.764002,699.026001
698.442199,711.856006,713.797998,717.739990,711.964002,700.886011,706.602002,701.615002,693.764002,699.026001,707.224011
711.856006,713.797998,717.739990,711.964002,700.886011,706.602002,701.615002,693.764002,699.026001,707.224011,698.796191
713.797998,717.739990,711.964002,700.886011,706.602002,701.615002,693.764002,699.026001,707.224011,698.796191,702.615991
717.739990,711.964002,700.886011,706.602002,701.615002,693.764002,699.026001,707.224011,698.796191,702.615991,703.204016
711.964002,700.886011,706.602002,701.615002,693.764002,699.026001,707.224011,698.796191,702.615991,703.204016,691.605994
700.886011,706.602002,701.615002,693.764002,699.026001,707.224011,698.796191,702.615991,703.204016,691.605994,685.482007
706.602002,701.615002,693.764002,699.026001,707.224011,698.796191,702.615991,703.204016,691.605994,685.482007,679.887585
701.615002,693.764002,699.026001,707.224011,698.796191,702.615991,703.204016,691.605994,685.482007,679.887585,687.707996
693.764002,699.026001,707.224011,698.796191,702.615991,703.204016,691.605994,685.482007,679.887585,687.707996,679.442004
699.026001,707.224011,698.796191,702.615991,703.204016,691.605994,685.482007,679.887585,687.707996,679.442004,676.083997
707.224011,698.796191,702.615991,703.204016,691.605994,685.482007,679.887585,687.707996,679.442004,676.083997,691.030005
698.796191,702.615991,703.204016,691.605994,685.482007,679.887585,687.707996,679.442004,676.083997,691.030005,713.538001
702.615991,703.204016,691.605994,685.482007,679.887585,687.707996,679.442004,676.083997,691.030005,713.538001,743.823999
703.204016,691.605994,685.482007,679.887585,687.707996,679.442004,676.083997,691.030005,713.538001,743.823999,773.664013
691.605994,685.482007,679.887585,687.707996,679.442004,676.083997,691.030005,713.538001,743.823999,773.664013,751.118005
685.482007,679.887585,687.707996,679.442004,676.083997,691.030005,713.538001,743.823999,773.664013,751.118005,737.844006
679.887585,687.707996,679.442004,676.083997,691.030005,713.538001,743.823999,773.664013,751.118005,737.844006,726.035999
687.707996,679.442004,676.083997,691.030005,713.538001,743.823999,773.664013,751.118005,737.844006,726.035999,705.254993
679.442004,676.083997,691.030005,713.538001,743.823999,773.664013,751.118005,737.844006,726.035999,705.254993,712.937988
676.083997,691.030005,713.538001,743.823999,773.664013,751.118005,737.844006,726.035999,705.254993,712.937988,717.321997
691.030005,713.538001,743.823999,773.664013,751.118005,737.844006,726.035999,705.254993,712.937988,717.321997,724.470191
713.538001,743.823999,773.664013,751.118005,737.844006,726.035999,705.254993,712.937988,717.321997,724.470191,705.802014
743.823999,773.664013,751.118005,737.844006,726.035999,705.254993,712.937988,717.321997,724.470191,705.802014,693.123999
773.664013,751.118005,737.844006,726.035999,705.254993,712.937988,717.321997,724.470191,705.802014,693.123999,702.053979
751.118005,737.844006,726.035999,705.254993,712.937988,717.321997,724.470191,705.802014,693.123999,702.053979,694.659997
737.844006,726.035999,705.254993,712.937988,717.321997,724.470191,705.802014,693.123999,702.053979,694.659997,709.168982
726.035999,705.254993,712.937988,717.321997,724.470191,705.802014,693.123999,702.053979,694.659997,709.168982,713.063989
705.254993,712.937988,717.321997,724.470191,705.802014,693.123999,702.053979,694.659997,709.168982,713.063989,723.977405
712.937988,717.321997,724.470191,705.802014,693.123999,702.053979,694.659997,709.168982,713.063989,723.977405,714.213000
717.321997,724.470191,705.802014,693.123999,702.053979,694.659997,709.168982,713.063989,723.977405,714.213000,721.323987
724.470191,705.802014,693.123999,702.053979,694.659997,709.168982,713.063989,723.977405,714.213000,721.323987,728.130005
705.802014,693.123999,702.053979,694.659997,709.168982,713.063989,723.977405,714.213000,721.323987,728.130005,738.667993
693.123999,702.053979,694.659997,709.168982,713.063989,723.977405,714.213000,721.323987,728.130005,738.667993,744.450012
702.053979,694.659997,709.168982,713.063989,723.977405,714.213000,721.323987,728.130005,738.667993,744.450012,740.399610
